epi_week,date,country,state,city,newDeaths,deaths,newCases,totalCases,deathsMS,totalCasesMS,deaths_per_100k_inhabitants,totalCases_per_100k_inhabitants,deaths_by_totalCases,recovered,suspects,tests,tests_per_100k_inhabitants,vaccinated,vaccinated_per_100_inhabitants,vaccinated_second,vaccinated_second_per_100_inhabitants,vaccinated_single,vaccinated_single_per_100_inhabitants
107,2021-02-15,Brazil,AL,TOTAL,8,2873,749,125044,2873,125044,86.08609,3746.79724,0.02298,119550,7734,299014,8959.60486,76743,2.29951,2822,0.08456,,
107,2021-02-15,Brazil,AM,TOTAL,120,9992,925,295879,9992,295879,241.08496,7138.90880,0.03377,250178,1279,717911,17321.61173,197680,4.76958,6894,0.16634,,
107,2021-02-15,Brazil,AP,TOTAL,4,1106,135,80663,1106,80663,130.77444,9537.66623,0.01371,59340,1595,138551,16382.39582,16847,1.99200,296,0.03500,,
107,2021-02-15,Brazil,BA,TOTAL,63,10798,1796,631645,10798,631645,72.60105,4246.90568,0.01710,605744,144935,1978117,13299.99656,376130,2.52893,,,,
107,2021-02-15,Brazil,CE,TOTAL,2,10836,1589,396495,10836,396495,118.65864,4341.78289,0.02733,299003,37544,1356105,14849.90601,228318,2.50018,4010,0.04391,,
107,2021-02-15,Brazil,DF,TOTAL,9,4697,738,285576,4697,285576,155.77388,9470.99893,0.01645,275665,47,782118,25938.58987,111028,3.68219,9895,0.32816,,
107,2021-02-15,Brazil,ES,TOTAL,23,6164,515,311278,6156,311236,153.38484,7745.83504,0.01980,293537,193075,931541,23180.44617,98887,2.46070,65,0.00162,,
107,2021-02-15,Brazil,GO,TOTAL,61,8027,1985,373530,7984,372372,114.37155,5322.18808,0.02149,358569,317051,782818,11153.86884,177062,2.52284,2543,0.03623,,
107,2021-02-15,Brazil,MA,TOTAL,10,4860,213,213087,4860,213087,68.69082,3011.75334,0.02281,199570,1563,521011,7363.92468,102378,1.44700,10330,0.14600,,
107,2021-02-15,Brazil,MG,TOTAL,8,16887,1446,808693,16887,808693,79.77310,3820.21345,0.02088,733382,2284178,2897457,13687.39953,379220,1.79141,102909,0.48614,,
107,2021-02-15,Brazil,MS,TOTAL,18,3160,911,171828,3142,170917,113.71054,6183.11859,0.01839,160856,1120,564915,20328.09809,96942,3.48839,24408,0.87831,,
